Annee;Private_consumption;Annual_growth;Investment;Unemployment;Inflation
1991;60.3;3.7;22.1;1.7;5.6
1992;60.2;5.3;21.3;2.2;6.2
1993;60.6;5.9;21.4;2.2;7.2
1994;59.8;4.1;22.7;2.3;12.6
1995;61.2;-1.5;22.5;4.2;12.1
1996;60.9;5.6;22.1;5.5;7.6
1997;61.9;0.5;21.6;6.3;7.5
1998;61.6;2.7;21.7;6.8;4.4
1999;62.8;2.1;20.7;7.0;4.5
2000;62.9;4.3;21.1;7.4;3.8
2001;65.2;-1.0;18.0;9.5;4.7
2002;65.6;1.5;17.3;11.2;7.1
2003;65.2;0.4;16.2;12.5;5.6
2004;64.9;2.2;16.0;12.5;5.2
2005;65.5;0.8;15.6;11.8;6.1
2006;64.2;1.4;15.7;11.7;3.9
2007;64.5;2.0;16.0;11.3;2.3
2008;63.1;5.0;17.7;10.2;1.8
2009;62.4;3.6;19.3;8.6;4.6
2010;62.4;3.2;20.2;7.6;3.0
